2-s2.0-84898664430
2-s2.0-84912014389
2-s2.0-84893613312
2-s2.0-84903170614
2-s2.0-84898919790
2-s2.0-84880767928
2-s2.0-84876309901
2-s2.0-84920495370
2-s2.0-84923284926
2-s2.0-84923108032
2-s2.0-84903640795
2-s2.0-84905869743
2-s2.0-84905859493
2-s2.0-84905463440
2-s2.0-84905460020
2-s2.0-84902651495
2-s2.0-84918784767
2-s2.0-84899884487
2-s2.0-84906736737
2-s2.0-84926287456
2-s2.0-84894454394
2-s2.0-84922470444
2-s2.0-84875020851
